fold,seed,policy,tau_overlap,tau_dual,tau_rgb_uncertain,margin,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,dual_acceptance_ratio,n_rgb_boxes,n_dual_boxes,n_output_boxes
fold2,42,GateC,0.6,0.05,0.5,0.1,0.26160384722038255,0.5232068097655515,8.846752136122026e-07,0,0.009410729025974174,0.30631029294627843,39807,79093,64034
fold2,42,GateC,0.6,0.05,0.5,0.2,0.26160385468243497,0.5232068097655515,8.995993184635564e-07,0,0.009410736488026594,0.29542437383839276,39807,79093,63173
fold2,42,GateC,0.6,0.05,0.7,0.05,0.26160384134456044,0.5232068097655515,8.729235694310313e-07,0,0.009410723150152067,0.315565220689568,39807,79093,64766
fold2,42,GateC,0.6,0.05,0.7,0.1,0.26160384722038255,0.5232068097655515,8.846752136122026e-07,0,0.009410729025974174,0.30631029294627843,39807,79093,64034
fold2,42,GateC,0.6,0.05,0.7,0.2,0.26160385468243497,0.5232068097655515,8.995993184635564e-07,0,0.009410736488026594,0.29542437383839276,39807,79093,63173
fold2,42,GateC,0.6,0.1,0.3,0.05,0.25255006624659765,0.5050987891967818,1.3432964135776821e-06,0,0.0003569480521892765,0.15457752266319397,39807,79093,52033
fold2,42,GateC,0.6,0.1,0.3,0.1,0.2525500668242157,0.5050987891967818,1.344451649709397e-06,0,0.000356948629807341,0.15266837773254271,39807,79093,51882
fold2,42,GateC,0.6,0.1,0.3,0.2,0.2525500804525124,0.5050987891967818,1.3717082431435165e-06,0,0.00035696225810405435,0.14327437320622557,39807,79093,51139
fold2,42,GateC,0.6,0.1,0.5,0.05,0.2525500662162242,0.5050987891967818,1.3432356666680099e-06,0,0.0003569480218158505,0.15460280935101717,39807,79093,52035
fold2,42,GateC,0.6,0.1,0.5,0.1,0.2525500668242157,0.5050987891967818,1.344451649709397e-06,0,0.000356948629807341,0.15266837773254271,39807,79093,51882
fold2,42,GateC,0.6,0.1,0.5,0.2,0.2525500804525124,0.5050987891967818,1.3717082431435165e-06,0,0.00035696225810405435,0.14327437320622557,39807,79093,51139
fold2,42,GateC,0.6,0.1,0.7,0.05,0.2525500662162242,0.5050987891967818,1.3432356666680099e-06,0,0.0003569480218158505,0.15460280935101717,39807,79093,52035
fold2,42,GateC,0.6,0.1,0.7,0.1,0.2525500668242157,0.5050987891967818,1.344451649709397e-06,0,0.000356948629807341,0.15266837773254271,39807,79093,51882
fold2,42,GateC,0.6,0.1,0.7,0.2,0.2525500804525124,0.5050987891967818,1.3717082431435165e-06,0,0.00035696225810405435,0.14327437320622557,39807,79093,51139
fold2,42,GateC,0.6,0.2,0.3,0.05,0.25257158406413327,0.5051409819966483,2.186131618240208e-06,0,0.0003784658697248977,0.04059777730014034,39807,79093,43018
fold2,42,GateC,0.6,0.2,0.3,0.1,0.25257158406413327,0.5051409819966483,2.186131618240208e-06,0,0.0003784658697248977,0.040408127141466375,39807,79093,43003
fold2,42,GateC,0.6,0.2,0.3,0.2,0.25257158494979354,0.5051409819966483,2.1879029387912276e-06,0,0.00037846675538516505,0.03937137294071536,39807,79093,42921
fold2,42,GateC,0.6,0.2,0.5,0.05,0.25257158406413327,0.5051409819966483,2.186131618240208e-06,0,0.0003784658697248977,0.04061042064405194,39807,79093,43019
fold2,42,GateC,0.6,0.2,0.5,0.1,0.25257158406413327,0.5051409819966483,2.186131618240208e-06,0,0.0003784658697248977,0.040408127141466375,39807,79093,43003
fold2,42,GateC,0.6,0.2,0.5,0.2,0.25257158494979354,0.5051409819966483,2.1879029387912276e-06,0,0.00037846675538516505,0.03937137294071536,39807,79093,42921
fold2,42,GateC,0.6,0.2,0.7,0.05,0.25257158406413327,0.5051409819966483,2.186131618240208e-06,0,0.0003784658697248977,0.04061042064405194,39807,79093,43019
fold2,42,GateC,0.6,0.2,0.7,0.1,0.25257158406413327,0.5051409819966483,2.186131618240208e-06,0,0.0003784658697248977,0.040408127141466375,39807,79093,43003
fold2,42,GateC,0.6,0.2,0.7,0.2,0.25257158494979354,0.5051409819966483,2.1879029387912276e-06,0,0.00037846675538516505,0.03937137294071536,39807,79093,42921
fold2,42,GateC,0.6,0.3,0.3,0.05,0.252192668254367,0.5043816883915273,3.6481172067096173e-06,0,-4.4994004139153887e-07,0.007092915934406332,39807,79093,40368
fold2,42,GateC,0.6,0.3,0.3,0.1,0.252192668254367,0.5043816883915273,3.6481172067096173e-06,0,-4.4994004139153887e-07,0.007017055870936745,39807,79093,40362
fold2,42,GateC,0.6,0.3,0.3,0.2,0.252192668254367,0.5043816883915273,3.6481172067096173e-06,0,-4.4994004139153887e-07,0.006865335743997572,39807,79093,40350
fold2,42,GateC,0.6,0.3,0.5,0.05,0.252192668254367,0.5043816883915273,3.6481172067096173e-06,0,-4.4994004139153887e-07,0.0071055592783179295,39807,79093,40369
fold2,42,GateC,0.6,0.3,0.5,0.1,0.252192668254367,0.5043816883915273,3.6481172067096173e-06,0,-4.4994004139153887e-07,0.007017055870936745,39807,79093,40362
fold2,42,GateC,0.6,0.3,0.5,0.2,0.252192668254367,0.5043816883915273,3.6481172067096173e-06,0,-4.4994004139153887e-07,0.006865335743997572,39807,79093,40350
fold2,42,GateC,0.6,0.3,0.7,0.05,0.252192668254367,0.5043816883915273,3.6481172067096173e-06,0,-4.4994004139153887e-07,0.0071055592783179295,39807,79093,40369
fold2,42,GateC,0.6,0.3,0.7,0.1,0.252192668254367,0.5043816883915273,3.6481172067096173e-06,0,-4.4994004139153887e-07,0.007017055870936745,39807,79093,40362
fold2,42,GateC,0.6,0.3,0.7,0.2,0.252192668254367,0.5043816883915273,3.6481172067096173e-06,0,-4.4994004139153887e-07,0.006865335743997572,39807,79093,40350
fold2,42,GateC,0.7,0.05,0.3,0.05,0.2610984714103047,0.5221960869505533,8.558700561022821e-07,0,0.008905353215896306,0.32124208210587535,39807,79093,65215
fold2,42,GateC,0.7,0.05,0.3,0.1,0.26109847355419324,0.5221960869505533,8.601578332280118e-07,0,0.008905355359784872,0.3176640157788932,39807,79093,64932
fold2,42,GateC,0.7,0.05,0.3,0.2,0.2610984763117522,0.5221960869505533,8.656729510675479e-07,0,0.008905358117343831,0.31293540515595564,39807,79093,64558
fold2,42,GateC,0.7,0.05,0.5,0.05,0.26109847139797443,0.5221960869505533,8.55845395523244e-07,0,0.008905353203566058,0.32126736879369855,39807,79093,65217
fold2,42,GateC,0.7,0.05,0.5,0.1,0.26109847355419324,0.5221960869505533,8.601578332280118e-07,0,0.008905355359784872,0.3176640157788932,39807,79093,64932
fold2,42,GateC,0.7,0.05,0.5,0.2,0.2610984763117522,0.5221960869505533,8.656729510675479e-07,0,0.008905358117343831,0.31293540515595564,39807,79093,64558
fold2,42,GateC,0.7,0.05,0.7,0.05,0.26109847139797443,0.5221960869505533,8.55845395523244e-07,0,0.008905353203566058,0.32126736879369855,39807,79093,65217
